pageid	title	user	date	date_kind	lon	lat	method	resolved	osm_kind
88465422	File:One Pillar Pagoda Hanoi.jpg	Staffan Scherz	2013-06-09 14:08:55	taken	105.833614	21.035856	title	Chùa Một Cột, Phố Ông Ích Khiêm, Xuân Biểu, Phường Ba Đình, Thành phố Hà Nội, 11120, Việt 	amenity/place_of_worship
107509093	File:Viện Goethe Hà Nội.jpg	Goetheinstitut.hanoi	2019-04-03	taken	105.837644	21.030191	title	Viện Goethe, 56-58-60, Phố Nguyễn Thái Học, Phường Ba Đình, Thành phố Hà Nội, 11120, Việt 	office/ngo
109627597	File:Temple of Literature Hanoi.jpg	Arjunullas	2020-02-23	taken	105.835953	21.028790	title	Văn Miếu - Quốc Tử Giám, Phường Văn Miếu - Quốc Tử Giám, Thành phố Hà Nội, 11508, Việt Nam	landuse/religious
570420	File:One Pillar Pagoda Hanoi Vietnam.jpg	Thomas Schoch	2004-12-27	taken	105.833614	21.035856	title	Chùa Một Cột, Phố Ông Ích Khiêm, Xuân Biểu, Phường Ba Đình, Thành phố Hà Nội, 11120, Việt 	amenity/place_of_worship
34228288	File:Temple of Literature (14563741979).jpg	Erwin Verbruggen from Amsterdam, The Netherlands	2014-06-29 07:17	taken	105.835953	21.028790	title	Văn Miếu - Quốc Tử Giám, Phường Văn Miếu - Quốc Tử Giám, Thành phố Hà Nội, 11508, Việt Nam	landuse/religious
94476549	File:Cho Cau Dong.jpg	vi:User:Bdanh	ngày 31 tháng 12 năm 2010	taken	105.850445	21.037923	title	Chợ Cầu Đông, Phố Cầu Đông, Khu phố cổ, Phường Hoàn Kiếm, Thành phố Hà Nội, 11024, Việt Na	amenity/marketplace
564567	File:Vietnam Ho Chi Minh Mausoleum.jpg	Thomas Schoch	2004-12-27	taken	105.834689	21.036783	title	Lăng Chủ tịch Hồ Chí Minh, 1, Đường Hùng Vương, Phường Ba Đình, Thành phố Hà Nội, 11120, V	historic/monument
3122961	File:Ho Chi Minh Mausoleum 2006.jpg	Rungbachduong	2006-01-29	taken	105.834689	21.036783	title	Lăng Chủ tịch Hồ Chí Minh, 1, Đường Hùng Vương, Phường Ba Đình, Thành phố Hà Nội, 11120, V	tourism/attraction
4460012	File:Ho chi minh mausoleum.jpg	Gregor Dodson	2007-08-08 10:47:03	taken	105.834689	21.036783	title	Lăng Chủ tịch Hồ Chí Minh, 1, Đường Hùng Vương, Phường Ba Đình, Thành phố Hà Nội, 11120, V	tourism/attraction
15276340	File:Ho Chi Minh mausoleum 0322.JPG	Gryffindor	2008	taken	105.834689	21.036783	title	Lăng Chủ tịch Hồ Chí Minh, 1, Đường Hùng Vương, Phường Ba Đình, Thành phố Hà Nội, 11120, V	tourism/attraction
