title	query	reason
File:TranQuangKhai street, Hanoi 2025.jpg	TranQuangKhai street, Hanoi	no specific feature found
File:Công viên hồ Đền Lừ vào buổi tối.jpg	Công viên hồ Đền Lừ vào buổi tối, Hanoi, Vietnam	no specific feature found
File:Đường Bờ Sông Sét.jpg	Đường Bờ Sông Sét, Hanoi, Vietnam	a road is not a site (highway/tertiary)
File:Cổng đền Lư Giang.jpg	Cổng đền Lư Giang, Hanoi, Vietnam	no specific feature found
File:Cổng chùa Hoàng Mai.jpg	Cổng chùa Hoàng Mai, Hanoi, Vietnam	no specific feature found
File:Ngã ba giao phố Tân Mai và đường hồ Đền Lừ.jpg	Ngã ba giao phố Tân Mai và đường hồ Đền Lừ, Hanoi, Vietnam	no specific feature found
File:Trường tiểu học và trường trung học cơ sở Tân Mai.jpg	Trường tiểu học và trường trung học cơ sở Tân Mai, Hanoi, Vietnam	no specific feature found
File:LongGaQuan-HaNoi-09092008187.jpg	LongGaQuan-HaNoi	no specific feature found
File:Nha Tho Tham Hoa Giang Van Minh.jpg	Nha Tho Tham Hoa Giang Van Minh, Hanoi, Vietnam	no specific feature found
File:ThoKhoi TamQuan.JPG	ThoKhoi TamQuan, Hanoi, Vietnam	no specific feature found
File:CVA Cong truong.JPG	CVA Cong truong, Hanoi, Vietnam	no specific feature found
File:Den tho An Duong Vuong tai Co Loa.JPG	Den tho An Duong Vuong tai Co Loa, Hanoi, Vietnam	no specific feature found
File:Thu vien DHTM.jpg	Thu vien DHTM, Hanoi, Vietnam	no specific feature found
File:Vietnam University of Traditional Medecine and Pharmacy - VUTM.jpg	Vietnam University of Traditional Medecine and Pharmacy - VUTM, Hanoi, Vietnam	no specific feature found
File:Trà Tiên Hưởng (鮮饗茶), 446 Nguyen Trai Road, Nam Tu Liem District, Hanoi, Vietnam.jpg	Trà Tiên Hưởng (鮮饗茶), 446 Nguyen Trai Road, Nam Tu Liem District, Hanoi, Vietnam	stated locality '446 Nguyen Trai Road' not in the hit's address
File:78 Chùa Hà.jpg	78 Chùa Hà, Hanoi, Vietnam	a road is not a site (highway/residential)
File:Cau-giay-district.jpg	Cau-giay-district, Hanoi, Vietnam	no specific feature found
File:Priest Celebrates Mass - St. Joseph's Cathedral - Old Quarter - Hanoi - Vietnam (48071259031).jpg	Priest Celebrates Mass - St. Joseph's Cathedral - Old Quarter - Hanoi - Vietnam	no specific feature found
File:Newone - phong cảnh Hồ Tây.jpg	Newone - phong cảnh Hồ Tây, Hanoi, Vietnam	no specific feature found
File:Sân vận động Quốc gia Mỹ Đình (nhìn từ công viên).jpg	Sân vận động Quốc gia Mỹ Đình (nhìn từ công viên), Hanoi, Vietnam	'nhin' is not in the hit's name 'Sân vận động Quốc gia Mỹ Đình'
File:Cơ sở 2 Học viện Công nghệ Thông tin Bách Khoa - Hà Nội.jpg	Cơ sở 2 Học viện Công nghệ Thông tin Bách Khoa - Hà Nội	no specific feature found
File:Toan-canh-goldmark-city-136-ho-tung-mau-1024x682.jpg	Toan-canh-goldmark-city-136-ho-tung-mau-1024x682, Hanoi, Vietnam	no specific feature found
File:Ho-Chi-Minhs-House.jpg	Ho-Chi-Minhs-House, Hanoi, Vietnam	no specific feature found
File:Quận Hà Đông về đêm.jpg	Quận Hà Đông về đêm, Hanoi, Vietnam	no specific feature found
File:Tòa nhà Bưu điện nằm giữa phố Đinh Tiên Hoàng xưa.jpg	Tòa nhà Bưu điện nằm giữa phố Đinh Tiên Hoàng xưa, Hanoi, Vietnam	no specific feature found
File:Cột đồng hồ tòa nhà trung tâm Bưu điện Hà Nội.jpg	Cột đồng hồ tòa nhà trung tâm Bưu điện Hà Nội	no specific feature found
File:Bưu điện Hà Nội trên đường Đinh Tiên Hoàng.jpg	Bưu điện Hà Nội trên đường Đinh Tiên Hoàng	no specific feature found
File:Cổng chính Bưu điện Thành phố Hà Nội.jpg	Cổng chính Bưu điện Thành phố Hà Nội	no specific feature found
File:Tòa Bưu điện giáp phố Lê Thạch (1).jpg	Tòa Bưu điện giáp phố Lê Thạch, Hanoi, Vietnam	no specific feature found
File:Tòa Bưu điện giáp phố Lê Thạch (2).jpg	Tòa Bưu điện giáp phố Lê Thạch, Hanoi, Vietnam	no specific feature found
File:Tòa Bưu điện giáp phố Lê Thạch (3).jpg	Tòa Bưu điện giáp phố Lê Thạch, Hanoi, Vietnam	no specific feature found
File:Tòa Bưu điện giáp phố Lê Thạch (4).jpg	Tòa Bưu điện giáp phố Lê Thạch, Hanoi, Vietnam	no specific feature found
File:Discovery Cầu Giấy.jpg	Discovery Cầu Giấy, Hanoi, Vietnam	'giay' is not in the hit's name 'Discovery Complex'
File:001 Viện nghiên cứu năng lượng nguyên tử của Liên Xô tại Hà Nội.jpg	001 Viện nghiên cứu năng lượng nguyên tử của Liên Xô tại Hà Nội	no specific feature found
File:002 Viện nghiên cứu năng lượng nguyên tử của Liên Xô tại Hà Nội.jpg	002 Viện nghiên cứu năng lượng nguyên tử của Liên Xô tại Hà Nội	no specific feature found
File:Trụ sở UBND phường Hồng Hà, Hà Nội.jpg	Trụ sở UBND phường Hồng Hà, Hà Nội	no specific feature found
File:Trụ sở Đảng uỷ - HĐND phường Hồng Hà, Hà Nội.jpg	Trụ sở Đảng uỷ - HĐND phường Hồng Hà, Hà Nội	no specific feature found
File:Trụ sở 4 Công an phường Hồng Hà, Hà Nội.jpg	Trụ sở 4 Công an phường Hồng Hà, Hà Nội	no specific feature found
File:Trụ sở 1 Công an phường Hồng Hà, Hà Nội.jpg	Trụ sở 1 Công an phường Hồng Hà, Hà Nội	no specific feature found
File:Trụ sở 2 Công an phường Hồng Hà, Hà Nội.jpg	Trụ sở 2 Công an phường Hồng Hà, Hà Nội	no specific feature found
File:Trụ sở 3 Công an phường Hồng Hà, Hà Nội.jpg	Trụ sở 3 Công an phường Hồng Hà, Hà Nội	no specific feature found
File:Trụ sở 5 Công an phường Hồng Hà, Hà Nội.jpg	Trụ sở 5 Công an phường Hồng Hà, Hà Nội	no specific feature found
File:Trung tâm phục vụ hành chính công phường Hồng Hà, Hà Nội.jpg	Trung tâm phục vụ hành chính công phường Hồng Hà, Hà Nội	no specific feature found
File:Trụ sở Công an phường Hoàn Kiếm, Hà Nội.jpg	Trụ sở Công an phường Hoàn Kiếm, Hà Nội	no specific feature found
File:Trụ sở Đảng uỷ - HĐND phường Cửa Nam, Hà Nội.jpg	Trụ sở Đảng uỷ - HĐND phường Cửa Nam, Hà Nội	no specific feature found
File:Trụ sở UBND phường Cửa Nam, Hà Nội.jpg	Trụ sở UBND phường Cửa Nam, Hà Nội	no specific feature found
File:Trung tâm phục vụ hành chính công phường Cửa Nam, Hà Nội.jpg	Trung tâm phục vụ hành chính công phường Cửa Nam, Hà Nội	no specific feature found
File:Trụ sở chính Công an phường Cửa Nam, Hà Nội.jpg	Trụ sở chính Công an phường Cửa Nam, Hà Nội	no specific feature found
File:Trụ sở Công an phường Cửa Nam, Hà Nội.jpg	Trụ sở Công an phường Cửa Nam, Hà Nội	no specific feature found
File:Hanoi Street (31986563328).jpg	Hanoi Street	title names no place (generic words only)
File:Women Soldiers at Ho Chi Minh Museum - Hanoi - Vietnam.JPG	Women Soldiers at Ho Chi Minh Museum - Hanoi - Vietnam	no specific feature found
File:FSpace ground station.JPG	FSpace ground station, Hanoi, Vietnam	no specific feature found
File:Oc Ho Tay.jpg	Oc Ho Tay, Hanoi, Vietnam	'tay' is not in the hit's name 'Oc sen'
File:Hai Phong Train, Long Bien Bridge.jpg	Hai Phong Train, Long Bien Bridge, Hanoi, Vietnam	a road is not a site (highway/living_street)
File:Tinhnguyenvien-VoNguyenGiap-IMG 1294.jpg	Tinhnguyenvien-VoNguyenGiap, Hanoi, Vietnam	no specific feature found
File:Market Woman with Weigh Scale - Old Quarter - Hanoi - Vietnam (48071259196).jpg	Market Woman with Weigh Scale - Old Quarter - Hanoi - Vietnam	no specific feature found
File:Market Woman - Old Quarter - Hanoi - Vietnam (48071259286).jpg	Market Woman - Old Quarter - Hanoi - Vietnam	no specific feature found
File:Hanoi, Vietnam, Hoan Kiem Lake.jpg	Hanoi, Vietnam, Hoan Kiem Lake	no specific feature found
File:Hanoi, Vietnam, Visitors at Ho Chi Minh Museum.jpg	Hanoi, Vietnam, Visitors at Ho Chi Minh Museum	no specific feature found
File:Hanoi Street - 45273047074.jpg	Hanoi Street	title names no place (generic words only)
File:Night relaxing near Thê Húc Bridge 26-04-2024.jpg	Night relaxing near Thê Húc Bridge 26-04, Hanoi, Vietnam	no specific feature found
File:Hansers O truong co day em the 1765021257532.jpg	Hansers O truong co day em the, Hanoi, Vietnam	no specific feature found
File:Hội làng Trung Tự.jpg	Hội làng Trung Tự, Hanoi, Vietnam	no specific feature found
File:Lang hoa.JPG	Lang hoa, Hanoi, Vietnam	title names no place (generic words only)
File:Phố Hàng Bồ.JPG	Phố Hàng Bồ, Hanoi, Vietnam	a road is not a site (highway/residential)
File:Ha-noi-36-pho-phuong.jpg	Ha-noi-36-pho-phuong, Hanoi, Vietnam	title names no place (generic words only)
File:Đường phố xã Bát Tràng, Gia Lâm, Hà Nội.jpg	Đường phố xã Bát Tràng, Gia Lâm, Hà Nội	a road is not a site (highway/secondary)
File:HA NOI STREET AT DUSK VIETNAM FEB 2012 (7024695867).jpg	HA NOI STREET AT DUSK VIETNAM FEB	no specific feature found
File:HA NOI STREET AT DUSK VIETNAM FEB 2012 (6878602000).jpg	HA NOI STREET AT DUSK VIETNAM FEB	no specific feature found
File:HOAN KIEN LAKE HA NOI VIETNAM FEB 2012 (6832941110).jpg	HOAN KIEN LAKE HA NOI VIETNAM FEB	no specific feature found
File:HA NOI STREET VIETNAM FEB 2012 (6832937810).jpg	HA NOI STREET VIETNAM FEB	no specific feature found
File:Lenin Park Hanoi.JPG	Lenin Park Hanoi	'lenin' is not in the hit's name 'Công viên Lê-nin'
File:Lenin Park (Hanoi) panorama.jpg	Lenin Park (Hanoi) panorama	no specific feature found
File:Evening at 'Indira Gandhi Park'.JPG	Evening at 'Indira Gandhi Park', Hanoi, Vietnam	no specific feature found
File:Sunset at Lenin Park, Hanoi 2003.jpg	Sunset at Lenin Park, Hanoi	no specific feature found
File:Sunset at Lenin Park, Hanoi 2003 2.jpg	Sunset at Lenin Park, Hanoi 2	no specific feature found
File:Hanoi Park - 52349631378.jpg	Hanoi Park	a road is not a site (highway/residential)
File:Meat market - Hanoi, Vietnam - DSC03485.JPG	Meat market - Hanoi, Vietnam - DSC03485	no specific feature found
File:Market Old Quarter Hanoi.jpg	Market Old Quarter Hanoi	title names no place (generic words only)
File:Duong Da Ton marketplace 01.jpg	Duong Da Ton marketplace 01, Hanoi, Vietnam	no specific feature found
File:Duong Da Ton marketplace 03.jpg	Duong Da Ton marketplace 03, Hanoi, Vietnam	no specific feature found
File:Duong Da Ton marketplace 02.jpg	Duong Da Ton marketplace 02, Hanoi, Vietnam	no specific feature found
File:Duong Da Ton marketplace 04.jpg	Duong Da Ton marketplace 04, Hanoi, Vietnam	no specific feature found
File:Duong Da Ton marketplace 05.jpg	Duong Da Ton marketplace 05, Hanoi, Vietnam	no specific feature found
File:Duong Da Ton marketplace 06.jpg	Duong Da Ton marketplace 06, Hanoi, Vietnam	no specific feature found
File:Duong Da Ton marketplace 07.jpg	Duong Da Ton marketplace 07, Hanoi, Vietnam	no specific feature found
File:Duong Da Ton marketplace 09.jpg	Duong Da Ton marketplace 09, Hanoi, Vietnam	no specific feature found
File:Duong Da Ton marketplace 08.jpg	Duong Da Ton marketplace 08, Hanoi, Vietnam	no specific feature found
File:Duong Da Ton marketplace 10.jpg	Duong Da Ton marketplace 10, Hanoi, Vietnam	no specific feature found
File:Duong Da Ton marketplace 12.jpg	Duong Da Ton marketplace 12, Hanoi, Vietnam	no specific feature found
File:Duong Da Ton marketplace 11.jpg	Duong Da Ton marketplace 11, Hanoi, Vietnam	no specific feature found
File:Duong Da Ton marketplace 14.jpg	Duong Da Ton marketplace 14, Hanoi, Vietnam	no specific feature found
File:Duong Da Ton marketplace 13.jpg	Duong Da Ton marketplace 13, Hanoi, Vietnam	no specific feature found
File:Duong Da Ton marketplace 15.jpg	Duong Da Ton marketplace 15, Hanoi, Vietnam	no specific feature found
File:Duong Da Ton marketplace 17.jpg	Duong Da Ton marketplace 17, Hanoi, Vietnam	no specific feature found
File:Duong Da Ton marketplace 16.jpg	Duong Da Ton marketplace 16, Hanoi, Vietnam	no specific feature found
File:Duong Da Ton marketplace 18.jpg	Duong Da Ton marketplace 18, Hanoi, Vietnam	no specific feature found
File:Duong Da Ton marketplace 19.jpg	Duong Da Ton marketplace 19, Hanoi, Vietnam	no specific feature found
File:Duong Da Ton marketplace 21.jpg	Duong Da Ton marketplace 21, Hanoi, Vietnam	no specific feature found
File:Duong Da Ton marketplace 20.jpg	Duong Da Ton marketplace 20, Hanoi, Vietnam	no specific feature found
File:Duong Da Ton marketplace 22.jpg	Duong Da Ton marketplace 22, Hanoi, Vietnam	no specific feature found
File:Duong Da Ton marketplace 23.jpg	Duong Da Ton marketplace 23, Hanoi, Vietnam	no specific feature found
File:Duong Da Ton marketplace 24.jpg	Duong Da Ton marketplace 24, Hanoi, Vietnam	no specific feature found
File:Duong Da Ton marketplace 25.jpg	Duong Da Ton marketplace 25, Hanoi, Vietnam	no specific feature found
File:DGJ 1853 - A market in Hanoi (3527130916).jpg	DGJ - A market in Hanoi	no specific feature found
File:Market Hanoi -Dried prawns.jpg	Market Hanoi -Dried prawns	no specific feature found
File:Bien hieu cho Cau Dong.jpg	Bien hieu cho Cau Dong, Hanoi, Vietnam	no specific feature found
File:Garments market in Hanoi, 2003 July.jpg	Garments market in Hanoi, July	one-word title matched to a shop or restaurant
File:Garments market in Hanoi, 2003 July 2.jpg	Garments market in Hanoi, July 2	no specific feature found
File:Garments market in Hanoi, 2003 July 3.jpg	Garments market in Hanoi, July 3	no specific feature found
File:Garments market in Hanoi, 2003 July 4.jpg	Garments market in Hanoi, July 4	no specific feature found
File:Garments market in Hanoi, 2003 July 5.jpg	Garments market in Hanoi, July 5	no specific feature found
File:Garments market in Hanoi, 2003 July 6.jpg	Garments market in Hanoi, July 6	no specific feature found
File:Garments market in Hanoi, 2003 July 7.jpg	Garments market in Hanoi, July 7	no specific feature found
File:Garments market in Hanoi, 2003 July 8.jpg	Garments market in Hanoi, July 8	no specific feature found
File:Garments market in Hanoi, 2003 July 9.jpg	Garments market in Hanoi, July 9	no specific feature found
File:Garments market in Hanoi, 2003 July 10.jpg	Garments market in Hanoi, July 10	no specific feature found
File:Garments market in Hanoi, 2003 July 11.jpg	Garments market in Hanoi, July 11	no specific feature found
File:Garments market in Hanoi, 2003 July 12.jpg	Garments market in Hanoi, July 12	one-word title matched to a shop or restaurant
File:Garments market in Hanoi, 2003 July 13.jpg	Garments market in Hanoi, July 13	no specific feature found
File:Garments market in Hanoi, 2003 July 14.jpg	Garments market in Hanoi, July 14	no specific feature found
File:Garments market in Hanoi, 2003 July 15.jpg	Garments market in Hanoi, July 15	no specific feature found
File:Garments market in Hanoi, 2003 July 16.jpg	Garments market in Hanoi, July 16	no specific feature found
File:Garments market, 2003 July 28, Hanoi.jpg	Garments market, July 28, Hanoi	no specific feature found
File:Garments market, 2003 July 28, Hanoi 2.jpg	Garments market, July 28, Hanoi 2	no specific feature found
File:Garments market, 2003 July 28, Hanoi 3.jpg	Garments market, July 28, Hanoi 3	no specific feature found
File:Garments market, 2003 July 28, Hanoi 4.jpg	Garments market, July 28, Hanoi 4	no specific feature found
File:Garments market, 2003 July 28, Hanoi 5.jpg	Garments market, July 28, Hanoi 5	no specific feature found
File:Garments market, 2003 July 28, Hanoi 6.jpg	Garments market, July 28, Hanoi 6	no specific feature found
File:Garments market, 2003 July 28, Hanoi 7.jpg	Garments market, July 28, Hanoi 7	no specific feature found
File:Garments market, 2003 July 28, Hanoi 8.jpg	Garments market, July 28, Hanoi 8	no specific feature found
File:Food market, July 2003, Hanoi.jpg	Food market, July , Hanoi	title names no place (generic words only)
File:Food market, July 2003, Hanoi 2.jpg	Food market, July , Hanoi 2	title names no place (generic words only)
File:Food market, July 2003, Hanoi 3.jpg	Food market, July , Hanoi 3	title names no place (generic words only)
