pageid	place	reason
30617595	Thăng Long Water Puppet Theatre, 57B Đinh Tiên Hoàng, Hanoi	confidence 0.60 < 0.7
137891921	Cổng làng Văn Trì, Minh Khai, Bắc Từ Liêm, Hanoi	'tri' is not in the hit's name 'Làng Văn Hóa Công Viên Yên Sở'
137892022	Cổng làng Văn Trì, Minh Khai, Bắc Từ Liêm, Hanoi	'tri' is not in the hit's name 'Làng Văn Hóa Công Viên Yên Sở'
137892297	Cổng làng Văn Trì, Minh Khai, Bắc Từ Liêm, Hanoi	'tri' is not in the hit's name 'Làng Văn Hóa Công Viên Yên Sở'
149568443	Cổng làng Văn Trì, Minh Khai, Bắc Từ Liêm, Hanoi	confidence 0.65 < 0.7
32712986	Đông Kinh Nghĩa Thục Square (rooftop cafe of the Hàm Cá Mập building), Hoàn Kiếm, Hanoi	'ca' is not in the hit's name 'Quảng trường Đông Kinh Nghĩa Thục'
106530831	Hỏa Lò Prison (Maison Centrale), Hanoi	confidence 0.55 < 0.7
162065762	Hoàn Kiếm Lake east shore (Đinh Tiên Hoàng Street), Hanoi	confidence 0.60 < 0.7
162065779	St. Joseph's Cathedral (Nhà thờ Lớn), Hanoi	'cathedral' is not in the hit's name 'Nhà thờ Lớn'
162065797	Tháp Hòa Phong (site of Báo Ân Pagoda), Đinh Tiên Hoàng, Hoàn Kiếm, Hanoi	confidence 0.55 < 0.7
113138365	Nhà sàn Bác Hồ (Ho Chi Minh's Stilt House), Presidential Palace complex, Hanoi	'chi' is not in the hit's name 'Nhà sàn Bác Hồ'
113138376	Nhà sàn Bác Hồ (Ho Chi Minh's Stilt House), Presidential Palace complex, Hanoi	confidence 0.55 < 0.7
113138383	Nhà sàn Bác Hồ (Ho Chi Minh's Stilt House), Presidential Palace complex, Hanoi	'chi' is not in the hit's name 'Nhà sàn Bác Hồ'
113138398	Nhà sàn Bác Hồ (Ho Chi Minh's Stilt House), Presidential Palace complex, Hanoi	'chi' is not in the hit's name 'Nhà sàn Bác Hồ'
113138413	Nhà sàn Bác Hồ (Ho Chi Minh's Stilt House), Presidential Palace complex, Hanoi	confidence 0.55 < 0.7
113138421	Nhà sàn Bác Hồ (Ho Chi Minh's Stilt House), Presidential Palace complex, Hanoi	'chi' is not in the hit's name 'Nhà sàn Bác Hồ'
107993531	Hỏa Lò Prison (Maison Centrale), Hanoi	confidence 0.60 < 0.7
107993532	Hỏa Lò Prison (Maison Centrale), Hanoi	confidence 0.60 < 0.7
107993535	Hỏa Lò Prison (Maison Centrale), Hanoi	confidence 0.50 < 0.7
107993533	Hỏa Lò Prison (Maison Centrale), Hanoi	confidence 0.50 < 0.7
107993540	Hỏa Lò Prison (Maison Centrale), Hanoi	confidence 0.50 < 0.7
79375180	78 Chùa Hà Street, Cầu Giấy, Hanoi	a road is not a site (highway/residential)
22558528	90 Thợ Nhuộm Street, Hoàn Kiếm, Hanoi	a road is not a site (highway/residential)
78106925	304 Nguyễn Trãi, Thanh Xuân, Hanoi	a road is not a site (highway/trunk)
44815386	Mỹ Đình National Stadium, Nam Từ Liêm, Hanoi	'national' is not in the hit's name 'Sân vận động Quốc gia Mỹ Đình'
44815127	Mỹ Đình National Stadium, Nam Từ Liêm, Hanoi	'national' is not in the hit's name 'Sân vận động Quốc gia Mỹ Đình'
116025284	Ga Vành Đai 3 (Cát Linh–Hà Đông metro), Nguyễn Trãi, Thanh Xuân, Hanoi	'cat' is not in the hit's name 'Ga Vành Đai 3'
37053202	Đinh Tiên Hoàng Street by Thê Húc Bridge, Hoàn Kiếm Lake, Hanoi	'by' is not in the hit's name 'Hồ Hoàn Kiếm'
30614534	Đinh Tiên Hoàng Street by Thê Húc Bridge, Hoàn Kiếm Lake, Hanoi	'by' is not in the hit's name 'Hồ Hoàn Kiếm'
8332018	Mỹ Đình National Stadium, Nam Từ Liêm, Hanoi	'national' is not in the hit's name 'Sân vận động Quốc gia Mỹ Đình'
64218738	Al-Noor Mosque, 12 Hàng Lược, Hoàn Kiếm, Hanoi	'mosque' is not in the hit's name 'Thánh đường Hồi giáo Al-Noor'
132101969	Hanoi Railway Station (Ga Hà Nội), Lê Duẩn, Hanoi	confidence 0.60 < 0.7
1960440	Embassy of the United States, 7 Láng Hạ, Ba Đình, Hanoi	'embassy' is not in the hit's name 'Đại sứ quán Hoa Kỳ'
86984054	Trường Đại học Kinh tế - ĐHQGHN (nhà E4), 144 Xuân Thủy, Cầu Giấy, Hanoi	a road is not a site (highway/bus_stop)
122918785	Tràng Tiền Plaza, Hoàn Kiếm, Hanoi	stated locality 'Hoàn Kiếm' not in the hit's address
14523898	19 Lê Thánh Tông (former Đại học Tổng hợp Hà Nội), Hoàn Kiếm, Hanoi	'former' is not in the hit's name 'Trường Đại học Khoa học Tự nhiên'
14523856	19 Lê Thánh Tông (former Đại học Tổng hợp Hà Nội), Hoàn Kiếm, Hanoi	'former' is not in the hit's name 'Trường Đại học Khoa học Tự nhiên'
179005860	Laika Cafe, phố Thâm Tâm, Cầu Giấy, Hanoi	one-word title matched to a shop or restaurant
80522466	Đình Thuận Mỹ, Hàng Quạt, Hoàn Kiếm, Hanoi	confidence 0.60 < 0.7
22545929	Au Lac Café, 57 Lý Thái Tổ, Hanoi	a road is not a site (highway/tertiary)
149576274	Hanoi Opera House, Hanoi	confidence 0.60 < 0.7
103327674	British Vietnamese International School Hanoi, Royal City, Hanoi	confidence 0.60 < 0.7
10459217	Ba Đình Hall, Ba Đình Square, Hanoi	'ba' is not in the hit's name 'Nhà Quốc hội'
64218565	Đền Bà Kiệu, Đinh Tiên Hoàng, Hanoi	confidence 0.60 < 0.7
64218580	Đền Bà Kiệu, Đinh Tiên Hoàng, Hanoi	confidence 0.60 < 0.7
64218589	Đền Bà Kiệu, Đinh Tiên Hoàng, Hanoi	confidence 0.60 < 0.7
64218591	Đền Bà Kiệu, Đinh Tiên Hoàng, Hanoi	confidence 0.60 < 0.7
64218598	Đền Bà Kiệu, Đinh Tiên Hoàng, Hanoi	confidence 0.60 < 0.7
64218579	Đền Bà Kiệu, Đinh Tiên Hoàng, Hanoi	confidence 0.60 < 0.7
64218583	Đền Bà Kiệu, Đinh Tiên Hoàng, Hanoi	confidence 0.60 < 0.7
64218544	Đền Bà Kiệu, Đinh Tiên Hoàng, Hanoi	confidence 0.65 < 0.7
64218547	Đền Bà Kiệu, Đinh Tiên Hoàng, Hanoi	confidence 0.65 < 0.7
64218550	Đền Bà Kiệu, Đinh Tiên Hoàng, Hanoi	confidence 0.60 < 0.7
64218552	Đền Bà Kiệu, Đinh Tiên Hoàng, Hanoi	confidence 0.60 < 0.7
64218560	Đền Bà Kiệu, Đinh Tiên Hoàng, Hanoi	confidence 0.60 < 0.7
64218564	Đền Bà Kiệu, Đinh Tiên Hoàng, Hanoi	confidence 0.60 < 0.7
17514735	Ba Đình Hall, Ba Đình Square, Hanoi	'ba' is not in the hit's name 'Nhà Quốc hội'
3388593	Bách Thảo Park (Hanoi Botanical Garden), Hanoi	confidence 0.50 < 0.7
181298253	State Bank of Vietnam, Lý Thái Tổ, Hanoi	'bank' is not in the hit's name 'Ngân hàng Nhà nước Việt Nam'
8785745	Bia Hơi Corner, Tạ Hiện - Lương Ngọc Quyến, Hanoi	confidence 0.50 < 0.7
24775196	Mỹ Đình Bus Station, Hanoi	confidence 0.60 < 0.7
94564552	Vườn hoa Vạn Xuân (Hàng Đậu), Hanoi	confidence 0.60 < 0.7
94564737	Vườn hoa Vạn Xuân (Hàng Đậu), Hanoi	confidence 0.60 < 0.7
94564378	Vườn hoa Vạn Xuân (Hàng Đậu), Hanoi	confidence 0.60 < 0.7
94563348	Vườn hoa Vạn Xuân (Hàng Đậu), Hanoi	'dau' is not in the hit's name 'Vườn hoa Vạn Xuân'
24572380	Bích Câu Đạo Quán, Cát Linh, Hanoi	confidence 0.65 < 0.7
24572379	Bích Câu Đạo Quán, Cát Linh, Hanoi	confidence 0.65 < 0.7
24572384	Bích Câu Đạo Quán, Cát Linh, Hanoi	confidence 0.60 < 0.7
24572382	Bích Câu Đạo Quán, Cát Linh, Hanoi	confidence 0.45 < 0.7
24572385	Bích Câu Đạo Quán, Cát Linh, Hanoi	confidence 0.50 < 0.7
24572390	Bích Câu Đạo Quán, Cát Linh, Hanoi	confidence 0.60 < 0.7
93222613	Chợ Cầu Đông, Cầu Gỗ, Hoàn Kiếm, Hanoi	confidence 0.60 < 0.7
