id	user	user_id	date	date_kind	lon	lat	accuracy_m	method	title
31409444	Kjetil r	9672	2012-12	taken	105.834689	21.036783	150	vision	File:2012 Ho Chi Minh Mausoleum.jpg
131507646	Xtvl.1971	11756432	2023-05-04	taken	105.849242	21.027878	150	vision	File:40-Nha-Chung-1.jpg
59349641	Donald Trung	6592656	2017:04:19 08:47:16	taken	105.768838	20.962785	150	vision	File:A Police Hospital in Hanoi city 2017.jpg
112835863	Syced	27103	2003:07:27 11:20:34	taken	105.839825	21.032590	150	vision	File:Army museum, 2003 Hanoi 19.jpg
112835868	Syced	27103	2003:07:27 11:20:25	taken	105.839825	21.032590	150	vision	File:Army museum, 2003 Hanoi 20.jpg
3135202	Rungbachduong	208886	2007:08:19 19:53:37	taken	105.835792	21.036987	150	vision	File:Ba Dinh Square 2007.jpg
11686771	Grenouille vert	637652	2010:05:03 15:48:37	taken	105.835792	21.036987	150	vision	File:Ba Dinh Square panorama.jpg
24572378	Robert S Travers	2631592	2011:04:05 13:29:36	taken	105.832726	21.028735	150	vision	File:Bich Cau - original side gate.JPG
113081669	Tttrung	8567	2021-12-05	taken	105.828748	21.029238	150	vision	File:Biểu trưng Hà Nội ở mặt bên cổng trước ga Cát Linh.jpg
113081667	Tttrung	8567	2021-12-05	taken	105.828748	21.029238	150	vision	File:Biểu tượng Hà Nội bên ngoài ga Cát Linh.jpg
122588557	The Hanoian	11517268	2022:09:02 12:53:16	taken	105.853673	21.026698	150	vision	File:Bưu điện Hà Nội - 2022-09-02 01.jpg
121403575	Nguyenmy2302	9748661	2022-08-04	taken	105.853646	21.026420	150	vision	File:Bưu điện Hà Nội trên đường Đinh Tiên Hoàng.jpg
121403573	Nguyenmy2302	9748661	2022-08-04	taken	105.853646	21.026420	150	vision	File:Bưu điện Hà Nội đối diện với tháp Hòa Phong.jpg
48607124	Bùi Thụy Đào Nguyên	2438478	2016:04:11 18:48:27	taken	105.836838	21.047884	150	vision	File:Chùa Trấn Quốc (Hà Nội).jpg
124244403	NKSTTSSHNVN	10985169	2022-10-16	taken	105.849671	21.038256	150	vision	File:Chợ Đồng Xuân - NKS.jpg
190437990	Hardscarf	3750	2024:12:07 09:23:31	taken	105.835792	21.036987	150	vision	File:Couple posing for the Ho Chi Minh Mausoleum (1).jpg
94058343	Gkbank	502286	2008:07:28 18:41:01	taken	105.763927	21.020503	150	vision	File:Cua chinh SVD My Dinh.JPG
121401361	Nguyenmy2302	9748661	2022-08-04	taken	105.853646	21.026420	150	vision	File:Cột đồng hồ tòa nhà trung tâm Bưu điện Hà Nội.jpg
7822599	Engineer1~commonswiki	841001	2009-09-15T23:08:25Z	uploaded	105.843267	21.003233	150	vision	File:Dai hoc xay dung.jpg
30049490	Codobai	854926	2012:10:24 03:08:37	taken	105.853600	21.031160	150	vision	File:Den Ba Kieu.JPG
24717020	VuThiAnh	820179	2013:02:17 14:09:12	taken	105.871514	21.112523	150	vision	File:Den tho An Duong Vuong tai Co Loa.JPG
3259016	Pierredh	235834	2004:06:20 15:11:38	taken	105.839825	21.032590	150	vision	File:Flag tower hanoi.jpg
107509093	Goetheinstitut.hanoi	10475470	2019:04:03 15:20:00	taken	105.837644	21.030191	150	title	File:Viện Goethe Hà Nội.jpg
109627597	Arjunullas	6433943	2020:02:23 16:27:28	taken	105.835953	21.028790	150	title	File:Temple of Literature Hanoi.jpg
94476549	Bdanh	6515528	2010:12:31 16:54:20	taken	105.850445	21.037923	150	title	File:Cho Cau Dong.jpg
15276340	Gryffindor	11219	2008:12:29 06:28:00	taken	105.834689	21.036783	150	title	File:Ho Chi Minh mausoleum 0322.JPG
15276356	Gryffindor	11219	2008:12:29 06:27:47	taken	105.834689	21.036783	150	title	File:Ho Chi Minh mausoleum 0321.JPG
17286763	Benoît Prieur	1321769	2003	taken	105.834689	21.036783	150	title	File:Ho Chi Minh Mausoleum - 2003.jpg
20846769	GARNERshiqian	2010127	2012:04:28 15:46:57	taken	105.834689	21.036783	150	title	File:Ho Chi Minh Mausoleum - 28042012.jpg
23301694	Ecow	2010047	2012:12:22 12:40:05	taken	105.834689	21.036783	150	title	File:Ho Chi Minh Mausoleum-Hanoi-Vietnam.JPG
28861205	Grossbildjaeger	3071839	2006:02:18 09:34:29	taken	105.834689	21.036783	150	title	File:Ho Chi Minh Mausoleum Hanoi Vietnam.JPG
47036240	EurovisionNim	3673015	2015:12:31 14:47:23	taken	105.834689	21.036783	150	title	File:Ho Chi Minh Mausoleum, Hanoi Vietnam.jpg
54689760	RandiJohn	6330665	30 December 2016 (according to Exif data)	taken	105.834689	21.036783	150	title	File:Ho Chi minh mausoleum.jpg
113101476	Syced	27103	2003:07:25 15:28:35	taken	105.834689	21.036783	150	title	File:Ho Chi Minh mausoleum, July 2003, Hanoi.jpg
113101479	Syced	27103	2003:07:25 15:28:55	taken	105.834689	21.036783	150	title	File:Ho Chi Minh mausoleum, July 2003, Hanoi 2.jpg
113101483	Syced	27103	2003:07:25 15:28:42	taken	105.834689	21.036783	150	title	File:Ho Chi Minh mausoleum, July 2003, Hanoi 3.jpg
113101486	Syced	27103	2003:07:25 15:29:34	taken	105.834689	21.036783	150	title	File:Ho Chi Minh mausoleum, July 2003, Hanoi 4.jpg
113101492	Syced	27103	2003:07:25 15:32:52	taken	105.834689	21.036783	150	title	File:Ho Chi Minh mausoleum, July 2003, Hanoi 5.jpg
113101495	Syced	27103	2003:07:25 15:33:07	taken	105.834689	21.036783	150	title	File:Ho Chi Minh mausoleum, July 2003, Hanoi 6.jpg
113101500	Syced	27103	2003:07:25 15:33:20	taken	105.834689	21.036783	150	title	File:Ho Chi Minh mausoleum, July 2003, Hanoi 7.jpg
113101504	Syced	27103	2003:07:25 15:33:37	taken	105.834689	21.036783	150	title	File:Ho Chi Minh mausoleum, July 2003, Hanoi 8.jpg
113101508	Syced	27103	2003:07:25 15:33:54	taken	105.834689	21.036783	150	title	File:Ho Chi Minh mausoleum, July 2003, Hanoi 9.jpg
113101513	Syced	27103	2003:07:25 15:41:00	taken	105.834689	21.036783	150	title	File:Ho Chi Minh mausoleum, July 2003, Hanoi 10.jpg
113101521	Syced	27103	2003:07:25 15:42:07	taken	105.834689	21.036783	150	title	File:Ho Chi Minh mausoleum, July 2003, Hanoi 11.jpg
113101526	Syced	27103	2003:07:25 15:42:24	taken	105.834689	21.036783	150	title	File:Ho Chi Minh mausoleum, July 2003, Hanoi 12.jpg
113101534	Syced	27103	2003:07:25 15:42:40	taken	105.834689	21.036783	150	title	File:Ho Chi Minh mausoleum, July 2003, Hanoi 13.jpg
113101539	Syced	27103	2003:07:25 15:52:09	taken	105.834689	21.036783	150	title	File:Ho Chi Minh mausoleum, July 2003, Hanoi 14.jpg
113101548	Syced	27103	2003:07:25 15:43:20	taken	105.834689	21.036783	150	title	File:Ho Chi Minh mausoleum, July 2003, Hanoi 15.jpg
113101551	Syced	27103	2003:07:25 15:52:33	taken	105.834689	21.036783	150	title	File:Ho Chi Minh mausoleum, July 2003, Hanoi 16.jpg
113101554	Syced	27103	2003:07:25 15:53:21	taken	105.834689	21.036783	150	title	File:Ho Chi Minh mausoleum, July 2003, Hanoi 17.jpg
113101561	Syced	27103	2003:07:25 15:52:46	taken	105.834689	21.036783	150	title	File:Ho Chi Minh mausoleum, July 2003, Hanoi 18.jpg
113101564	Syced	27103	2003:07:25 15:54:21	taken	105.834689	21.036783	150	title	File:Ho Chi Minh mausoleum, July 2003, Hanoi 19.jpg
113101570	Syced	27103	2003:07:25 15:54:48	taken	105.834689	21.036783	150	title	File:Ho Chi Minh mausoleum, July 2003, Hanoi 20.jpg
113101577	Syced	27103	2003:07:25 15:55:11	taken	105.834689	21.036783	150	title	File:Ho Chi Minh mausoleum, July 2003, Hanoi 21.jpg
113101582	Syced	27103	2003:07:25 15:56:18	taken	105.834689	21.036783	150	title	File:Ho Chi Minh mausoleum, July 2003, Hanoi 22.jpg
113101589	Syced	27103	2003:07:25 15:56:31	taken	105.834689	21.036783	150	title	File:Ho Chi Minh mausoleum, July 2003, Hanoi 23.jpg
113101592	Syced	27103	2003:07:25 15:56:49	taken	105.834689	21.036783	150	title	File:Ho Chi Minh mausoleum, July 2003, Hanoi 24.jpg
113101602	Syced	27103	2003:07:25 15:58:47	taken	105.834689	21.036783	150	title	File:Ho Chi Minh mausoleum, July 2003, Hanoi 25.jpg
113101618	Syced	27103	2003:07:25 15:58:35	taken	105.834689	21.036783	150	title	File:Ho Chi Minh mausoleum, July 2003, Hanoi 26.jpg
113101622	Syced	27103	2003:07:25 16:00:06	taken	105.834689	21.036783	150	title	File:Ho Chi Minh mausoleum, July 2003, Hanoi 27.jpg
113101629	Syced	27103	2003:07:25 16:07:46	taken	105.834689	21.036783	150	title	File:Ho Chi Minh mausoleum, July 2003, Hanoi 28.jpg
113101633	Syced	27103	2003:07:25 16:07:57	taken	105.834689	21.036783	150	title	File:Ho Chi Minh mausoleum, July 2003, Hanoi 29.jpg
113101778	Syced	27103	2003:07:25 15:29:44	taken	105.834689	21.036783	150	title	File:Ho Chi Minh mausoleum, July 2003, Hanoi 30.jpg
62661259	Donald Trung	6592656	2017:09:06 09:13:53	taken	105.850303	21.027966	150	title	File:Trường Tiểu Học Tràng An (2017).jpg
197217527	Chuhai07	14397974	2026:08:11 11:29:41	taken	105.835953	21.028790	150	title	File:Văn Miếu – Quốc Tử Giám (1).jpg
197217528	Chuhai07	14397974	2026:08:11 11:30:30	taken	105.835953	21.028790	150	title	File:Văn Miếu – Quốc Tử Giám (2).jpg
197217529	Chuhai07	14397974	2026:08:11 11:30:39	taken	105.835953	21.028790	150	title	File:Văn Miếu – Quốc Tử Giám (3).jpg
197217534	Chuhai07	14397974	2026:08:11 11:30:39	taken	105.835953	21.028790	150	title	File:Văn Miếu – Quốc Tử Giám (4).jpg
197217535	Chuhai07	14397974	2026:08:11 11:32:04	taken	105.835953	21.028790	150	title	File:Văn Miếu – Quốc Tử Giám (5).jpg
197217537	Chuhai07	14397974	2026:08:11 11:32:05	taken	105.835953	21.028790	150	title	File:Văn Miếu – Quốc Tử Giám (6).jpg
197217544	Chuhai07	14397974	2026:08:11 11:32:06	taken	105.835953	21.028790	150	title	File:Văn Miếu – Quốc Tử Giám (7).jpg
197217545	Chuhai07	14397974	2026:08:11 11:32:14	taken	105.835953	21.028790	150	title	File:Văn Miếu – Quốc Tử Giám (9).jpg
197217550	Chuhai07	14397974	2026:08:11 11:32:08	taken	105.835953	21.028790	150	title	File:Văn Miếu – Quốc Tử Giám (8).jpg
