user	date	date_kind	lon	lat
13451|pradeep-b-v	2018-04-28T12:11:04	taken	77.555496	13.015671
13451|pradeep-b-v	2024-06-02T04:00:17	taken	77.728335	13.384529
13451|pradeep-b-v	2020-02-28T11:53:33	taken	77.587451	12.987736
13451|pradeep-b-v	2023-01-13T06:06:31	taken	77.763756	12.781547
13451|pradeep-b-v	2020-07-08T08:33:46	taken	76.631073	12.328560
13451|pradeep-b-v	2023-04-02T04:25:06	taken	76.781109	12.487740
13451|pradeep-b-v	2018-12-30T05:39:26	taken	79.332990	13.678235
13451|pradeep-b-v	2022-01-02T05:23:11	taken	79.224857	13.531044
13451|pradeep-b-v	2020-03-01T13:31:55	taken	77.499769	13.044920
13451|pradeep-b-v	2023-01-13T04:27:03	taken	77.495502	13.048990
13451|pradeep-b-v	2020-05-24T12:49:08	taken	76.196221	13.379497
13451|pradeep-b-v	2022-02-21T11:19:45	taken	76.195844	13.379362
13451|pradeep-b-v	2020-03-14T07:45:38	taken	78.063633	12.639028
13451|pradeep-b-v	2023-01-17T08:48:54	taken	78.169503	12.573484
13451|pradeep-b-v	2020-03-16T05:00:43	taken	80.210283	13.049710
13451|pradeep-b-v	2022-03-06T07:53:25	taken	80.248287	13.006643
13451|pradeep-b-v	2020-09-29T12:12:29	taken	78.041030	11.575594
13451|pradeep-b-v	2023-01-17T06:49:17	taken	78.072196	11.720929
13451|pradeep-b-v	2020-03-16T03:57:52	taken	80.069789	12.851736
13451|pradeep-b-v	2022-12-25T02:37:48	taken	80.116127	12.924887
13451|pradeep-b-v	2020-03-14T05:41:24	taken	77.473624	12.995352
13451|pradeep-b-v	2023-04-02T03:45:51	taken	77.231297	12.721360
13451|pradeep-b-v	2020-09-29T10:12:02	taken	77.263740	11.174898
13451|pradeep-b-v	2023-01-17T03:33:54	taken	77.037267	11.035805
13451|pradeep-b-v	2020-03-16T11:46:39	taken	78.986454	12.910152
13451|pradeep-b-v	2022-12-23T11:12:53	taken	78.957137	12.906763
13451|pradeep-b-v	2020-03-14T08:55:01	taken	78.480631	12.314354
13451|pradeep-b-v	2023-01-17T07:52:03	taken	78.100598	12.027016
13451|pradeep-b-v	2020-02-09T05:11:42	taken	79.931859	12.906564
13451|pradeep-b-v	2022-12-25T04:27:02	taken	79.735595	12.872683
13451|pradeep-b-v	2020-08-29T03:17:45	taken	76.486106	15.264068
13451|pradeep-b-v	2021-07-22T07:32:07	taken	76.381153	15.262804
13451|pradeep-b-v	2018-12-29T11:43:25	taken	78.644055	13.181831
13451|pradeep-b-v	2021-07-18T04:14:34	taken	78.908079	13.205984
13451|pradeep-b-v	2020-03-16T11:01:52	taken	79.480069	12.902166
13451|pradeep-b-v	2022-12-25T07:02:57	taken	79.181611	12.940872
13451|pradeep-b-v	2020-09-29T03:57:43	taken	76.986507	11.011772
13451|pradeep-b-v	2023-01-14T03:35:03	taken	76.986435	11.011987
13451|pradeep-b-v	2020-10-07T10:36:14	taken	79.422128	10.960506
13451|pradeep-b-v	2022-08-24T05:08:18	taken	79.422305	10.960514
13451|pradeep-b-v	2020-03-15T08:24:37	taken	79.879743	12.065603
13451|pradeep-b-v	2022-12-20T09:31:48	taken	79.646844	12.239609
13451|pradeep-b-v	2020-10-26T05:14:09	taken	77.226532	12.425884
13451|pradeep-b-v	2020-11-22T08:11:18	taken	77.225517	12.397484
13451|pradeep-b-v	2021-12-24T04:45:23	taken	78.076862	30.377374
13451|pradeep-b-v	2021-12-29T05:08:03	taken	78.050295	30.342799
13451|pradeep-b-v	2021-07-10T09:09:46	taken	78.691809	10.855837
13451|pradeep-b-v	2022-08-25T03:34:12	taken	78.690571	10.834674
13451|pradeep-b-v	2020-03-15T09:58:13	taken	79.830110	11.929710
13451|pradeep-b-v	2022-12-20T08:17:35	taken	79.813365	11.932387
13451|pradeep-b-v	2020-05-21T08:42:14	taken	76.180197	12.992167
13451|pradeep-b-v	2020-12-30T07:19:11	taken	76.419435	12.787206
13451|pradeep-b-v	2020-06-04T14:08:37	taken	75.384497	12.956187
13451|pradeep-b-v	2020-08-10T07:44:47	taken	75.384689	12.955941
13451|pradeep-b-v	2021-12-21T04:31:16	taken	77.208326	28.631917
13451|pradeep-b-v	2021-12-23T04:42:17	taken	77.208215	28.631788
13451|pradeep-b-v	2021-12-27T06:04:42	taken	78.031196	30.642391
13451|pradeep-b-v	2021-12-28T08:05:00	taken	78.207761	30.807812
13451|pradeep-b-v	2018-04-14T23:14:22	taken	103.829771	1.326775
13451|pradeep-b-v	2020-02-05T01:52:29	taken	103.874610	1.295271
150937|phuong-hien-do	2023-06-06T04:29:51	taken	105.783127	21.291703
533|nigelramsay	2020-07-12T03:48:55	taken	170.489813	-44.006266
533|nigelramsay	2020-07-14T23:10:39	taken	171.646585	-43.514858
533|nigelramsay	2016-08-20T04:12:39	taken	174.765595	-41.255644
533|nigelramsay	2018-12-11T05:13:51	taken	174.722833	-41.296540
533|nigelramsay	2016-09-30T21:49:13	taken	175.024150	-40.863527
533|nigelramsay	2016-10-03T01:24:16	taken	175.031135	-40.858770
533|nigelramsay	2016-12-31T01:36:36	taken	175.672347	-40.928939
533|nigelramsay	2016-12-31T01:12:44	taken	175.706577	-40.641011
533|nigelramsay	2016-12-31T02:34:34	taken	175.247639	-41.109826
533|nigelramsay	2016-12-31T01:59:58	taken	175.473041	-41.069079
533|nigelramsay	2016-12-31T00:56:22	taken	175.843111	-40.450458
533|nigelramsay	2016-12-30T23:44:37	taken	175.933872	-40.314280
533|nigelramsay	2016-12-30T23:21:35	taken	176.156767	-40.144602
